helm1	raw	helm2
381.694	947.496	247.925
383.209	947.644	248.584
383.238	950.786	248.615
384.165	952.83	248.651
384.855	953.138	249.524
384.917	954.97	250.496
385.23	957.06	250.511
385.278	958.408	250.715
386.921	959.75	250.771
387.035	960.373	250.772
387.94	965.398	251.505
388.001	966.143	251.571
388.502	969.666	252.993
388.606	972.627	253.325
391.813	972.805	253.392
391.852	976.741	254.313
391.962	977.715	254.452
392.096	979.515	255.034
392.619	980.812	255.439
393.426	981.054	255.701
394.213	982.181	255.735
395.572	983.586	256.238
395.99	987.022	256.248
396.458	987.133	256.617
396.592	987.71	256.844
399.141	991.258	257.038
399.576	997.924	257.152
399.889	1003.21	257.382
400.446	1003.65	257.414
400.757	1009.39	257.587
401.977	1014.05	257.804
402.573	1028.39	258.682
402.864	1029.37	259.084
405.025	1039.95	259.147
405.72	1042	259.629
405.795	1042.23	260.033
405.803	1043.31	260.539
405.846	1049.62	260.602
407.376	1049.66	260.745
407.508	1049.74	261.122
408.362	1049.84	261.146
408.728	1052.28	261.278
409.247	1052.46	262.209
409.448	1053.71	262.498
409.718	1054.21	263.171
410.017	1055.92	263.401
410.353	1055.93	263.518
411.149	1057.63	263.849
411.356	1057.77	264.36
411.667	1058.15	264.721
412.718	1062.51	264.841
412.928	1065.31	265.134
413.169	1068.61	265.166
413.196	1069.36	265.78
413.217	1071.34	266.228
413.251	1078.11	266.421
413.615	1079.92	266.567
415.172	1085.11	266.594
415.363	1088.9	266.609
416.206	1089.85	267.202
416.258	1091.11	267.781
416.996	1092.3	268.494
417.612	1092.66	268.514
418.508	1097.03	268.553
419.008	1097.83	268.868
419.311	1102.07	270.125
419.679	1102.61	270.15
420.449	1103.87	270.243
420.924	1106.4	271.619
422.021	1109.61	271.971
422.101	1111.81	272.132
422.465	1113.66	272.155
423.008	1116.67	272.938
423.595	1118.58	273.612
424.294	1120.64	273.981
424.683	1121.53	274.626
425.408	1124.87	275.157
425.849	1130.64	275.561
426.969	1131.74	275.593
427.559	1132.32	275.741
428.138	1133	276.617
428.603	1138	276.685
428.707	1141.44	276.691
430.424	1144.44	277.245
430.858	1145.07	277.99
430.911	1145.12	278.88
431.92	1146.81	278.987
432.293	1150.32	279.165
433.858	1150.62	279.464
436.041	1151.07	279.875
436.914	1151.21	280.421
438.137	1151.61	280.74
440.282	1159.45	281.161
441.542	1163.8	282.607
442.345	1164.72	284.211
442.665	1164.96	284.542
442.702	1167.3	285.8
443.192	1168.48	285.941
443.905	1169.45	286.047
444.477	1172.45	286.183
446.156	1176.51	286.525
446.4	1178.52	286.646
446.527	1179.56	287.085
446.799	1181.63	287.141
448.02	1182.24	287.821
448.774	1186.47	288.055
449.337	1189.75	288.223
450.356	1190.1	288.394
450.367	1195.13	288.697
450.713	1195.97	289.372
451.129	1200.5	290.905
452.714	1201	290.969
453.116	1201.23	291.071
454.085	1201.47	291.298
455.772	1202.57	291.988
455.885	1206	292.602
456.886	1207.18	293.135
457.569	1211.97	294.033
457.725	1213.01	294.608
460.257	1213.72	294.633
461.596	1217.55	295.096
462.672	1219.37	296.505
463.501	1222.88	296.792
463.734	1224.41	296.949
464.789	1225.37	297.089
468.198	1226.97	297.514
469.384	1227.05	297.665
469.9	1227.54	298.946
471.222	1227.67	298.954
471.341	1227.89	299.534
471.51	1229.08	299.621
473.067	1230.76	300.049
474.219	1231.45	300.132
