max, 2.35, 0.6957, t, t, xx, xx, xx, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.2047, 3.2047, t, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, CCH
sum, 1.9507, 1.9507, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 2.9935, 2.9935, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cCH
sum, 2.7445, 0.2398, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 1.7992, 1.7992, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 1.4485, 1.4485, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 3.9169, 0.256, xx, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 2.1349, 2.1349, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 1.1245, 1.1245, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 1.3048, 1.3048, xx, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 2.0887, 0.0835, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 1.4857, 0.2506, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.3589, 0.6229, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 3.1858, 3.1858, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, CCH
sum, 2.2354, 2.2354, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.9554, 2.9554, t, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, cch
sum, 3.3994, 0.2987, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.6198, 1.6198, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 1.0957, 1.0957, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 1.9888, 0.0622, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 1.5592, 0.2098, xx, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cCH
sum, 2.5672, 2.5672, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.3872, 2.3872, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
max, 1.8598, 1.8598, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 1.7578, 0.5039, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cCH
max, 1.0849, 1.0849, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 1.879, 1.879, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.9472, 3.9472, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
