---------------------------------------------
Summary of N-way cross validation experiments
---------------------------------------------
	Data file: 10000 cases * 17 attributes

	Parameter: granularity = 5
	           promising = 0
	           nChanges = 2
	           skew = 20 (means: bestClass= 5.00%)


worthOnData=2.594954 worthOnTest=2.595747 ['from(design)/to(integration)'=[3.130000..4.020000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595050 worthOnTest=2.590869 ['from(programming)/to(programming)'=[119.459999..148.520004)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595985 worthOnTest=2.600135 ['from(programming)/to(programming)'=[148.520004..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596558 worthOnTest=2.601951 ['from(requirements)/to(design)'=[3.140000..4.030000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597346 worthOnTest=2.602368 ['from(requirements)/to(programming)'=[2.530000..3.260000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597996 worthOnTest=2.595381 ['from(design)/to(programming)'=[7.140000..9.100000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598967 worthOnTest=2.603068 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.609632 worthOnTest=2.605888 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 6: Treatments=14 -----
worthOnData=2.557668 worthOnTest=1.966230 ['from(design)/to(design)'=[52.490002..77.930000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.588064 worthOnTest=2.601889 ['from(design)/to(design)'=[41.980000..52.490002)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.591894 worthOnTest=2.589385 ['from(programming)/to(integration)'=[25.990000..32.709999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595130 worthOnTest=2.584476 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595198 worthOnTest=2.584887 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595390 worthOnTest=2.588125 ['from(programming)/to(programming)'=[119.370003..148.429993)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595797 worthOnTest=2.579613 ['from(design)/to(integration)'=[3.090000..3.970000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596106 worthOnTest=2.612171 ['from(design)/to(programming)'=[7.160000..9.130000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596740 worthOnTest=2.570165 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596823 worthOnTest=2.592776 ['from(programming)/to(programming)'=[148.429993..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597617 worthOnTest=2.590976 ['from(requirements)/to(design)'=[3.150000..4.040000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598101 worthOnTest=2.610590 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.600338 worthOnTest=2.581823 ['from(requirements)/to(programming)'=[2.500000..3.220000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.608696 worthOnTest=2.614528 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 7: Treatments=17 -----
worthOnData=2.542583 worthOnTest=2.215484 ['from(design)/to(design)'=[52.450001..77.930000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.589556 worthOnTest=2.588894 ['from(design)/to(deployment)'=[0.430000..0.740000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.591056 worthOnTest=2.587698 [defectDensity=[16.000000..27.000000)] [reworkSaved=[0.000000..0.130000)] 
